Beer;Style;Category;ABV;Bitter;Sweet;Sour;Body;Fruity;Roasted;Spicy;Smoky;Dryness;Complexity
Big Hug;Brown Ale;Other;5,3;2;2;1;3;2;1;1;0;2;2
Folk;English Pale Ale;Other;4,2;2;2;1;2;2;1;1;0;2;2
Wild Raven;Black IPA;IPA;6,6;5;2;1;3;4;3;1;0;3;3
Frankly Speaking;Smoked;Smoked;5,4;2;2;0;3;1;3;1;5;3;3
Reimagined Dream Line Forms One;Alcohol-Free IPA;IPA;0,3;5;2;1;2;4;1;1;0;3;3
Condensed;Gose w/ Lime & Vanilla;Sour;4,5;1;2;5;1;4;0;1;0;4;3
Aspall Draught Cyder;Cider;Cider;4,5;0;3;3;0;5;0;0;0;3;2
Cooneys Irish Cider;Cider;Cider;4,5;0;3;3;0;5;0;0;0;3;2
Lunch Club;Session IPA;IPA;4,7;4;2;1;2;4;1;1;0;3;2
Serenidad;Session IPA;IPA;4,7;4;2;1;2;4;1;1;0;3;2
Wildflower IPA;IPA;IPA;5,9;5;2;1;3;4;1;1;0;3;3
Freestyler;New Zealand IPA;IPA;6,5;5;2;1;3;4;1;1;0;3;3
Green Room;West Coast IPA;IPA;6;5;2;1;3;4;1;1;0;3;3
First Place Doodle;New England IPA;IPA;6,2;5;2;1;3;4;1;1;0;3;3
Pistero;New England IPA;IPA;7;5;2;1;3;4;1;1;0;3;3
Buxton Axe^x;New England IPA;IPA;6,8;5;2;1;3;4;1;1;0;3;3
Who Knew?;New England IPA;IPA;6,6;5;2;1;3;4;1;1;0;3;3
Drip Mode;Double New England IPA;IPA;8,3;5;3;1;5;4;1;1;0;3;5
Local Drops;New England IPA;IPA;7,2;5;2;1;3;4;1;1;0;3;3
Illegal Cargo;Double New England IPA;IPA;7,9;5;3;1;4;4;1;1;0;3;4
Chin Music;Double New England IPA;IPA;8,4;5;3;1;5;4;1;1;0;3;5
Super Fuzz;Double New England IPA;IPA;8;5;3;1;5;4;1;1;0;3;5
Vinohradská 11;Czech Pilsner;Lager;4,5;2;1;0;1;1;0;0;0;4;1
Pils / Tannen Zäpfle;Pilsner;Lager;5,1;2;1;0;2;1;0;0;0;4;1
Taphouse Strålende Pils;Pilsner;Lager;5,3;2;1;0;2;1;0;0;0;4;1
Uno Pils;Pale Lager;Lager;4,5;2;1;0;1;1;0;0;0;4;1
Gamma Organic Classic;Vienna;Lager;4,6;2;1;0;2;1;0;0;0;4;1
Bad Seed Classic;Vienna;Lager;5;2;1;0;2;1;0;0;0;4;1
Wheat Caroline;German Hefeweizen;Wheat;5,4;1;2;1;3;3;0;2;0;2;2
Blanche de Namur;Witbier;Wheat;4,5;1;2;1;2;3;0;2;0;2;2
Hefeweizen / Weizenzäpfle;German Hefeweizen;Wheat;5,4;1;2;1;3;3;0;2;0;2;2
Lobotomy;Witbier;Wheat;4,7;1;2;1;3;3;0;2;0;2;2
Ayinger Ur-Weisse;Dunkelweizen;Wheat;5,8;1;2;1;3;3;0;2;0;2;2
Saison Dupont Cuvée Dry Hopping;Saison;Belgian;6,5;2;3;1;4;3;2;4;0;2;4
Stolen Red Berries;Berliner Weisse;Sour;4,5;1;2;5;1;4;0;1;0;4;3
Tableau;Wild Ale;Sour;4,5;1;2;5;1;4;0;1;0;4;3
3 Fonteinen Oude Lambik;Lambic Style;Sour;6,7;1;2;5;2;4;0;1;0;4;3
Duchesse De Bourgogne;Sour Red/Brown;Sour;6,2;1;2;5;2;4;0;1;0;4;3
Audacia Oak Juice;Oak Aged Wild Ale;Sour;6,5;1;2;5;2;4;0;1;0;4;3
Mellow;Fruit Sour;Sour;5,1;1;2;5;2;5;0;1;0;4;3
Big Bang Barley Wine - Vintage 2025;Barley Wine;Strong Ale;9,3;2;4;0;5;2;3;2;0;1;5
Big Bang Barley Wine 2024;Barley Wine;Strong Ale;9,3;2;4;0;5;2;3;2;0;1;5
Counter Stout;Dry Stout;Stout/Porter;4,2;3;3;0;4;1;5;1;0;1;4
Gamma Nitro Stout;Dry Stout (Nitro);Stout/Porter;4,2;3;3;0;4;1;5;1;0;1;4
Good Morning, Vietnam;Sweet Stout;Stout/Porter;8,3;3;3;0;5;1;5;1;0;1;5
Ports of Call;Baltic Porter;Stout/Porter;7,9;3;3;0;5;1;5;1;0;1;5
Northern Monk Pilgrim;Imperial Stout;Stout/Porter;10;3;5;0;5;1;5;1;0;1;5
Noa Pecan Mud Cake;Imperial Stout;Stout/Porter;11;3;5;0;5;1;5;1;0;1;5
Põhjala Chocolate Porter;Imperial Chocolate Porter;Stout/Porter;10;3;5;0;5;1;5;1;0;1;5
Okiść;Baltic Porter;Stout/Porter;9;3;3;0;5;1;5;1;0;1;5
Patience (2025);Imp. Stout Bourbon BA;Stout/Porter;12;3;4;0;5;1;5;1;0;1;5
Northern Decadence;BA Imperial Stout;Stout/Porter;14,5;3;5;0;5;1;5;1;0;1;5
Black Hawk;Baltic Porter;Stout/Porter;8,5;3;3;0;5;1;5;1;0;1;5
Speedway Stout;Imperial Stout;Stout/Porter;12;3;5;0;5;1;5;1;0;1;5
Mashish;Imperial Pastry Stout;Stout/Porter;13;3;5;0;5;1;5;1;0;1;5
Duvel 6,66%;Belgian Blonde Ale;Belgian;6,66;2;3;1;4;3;2;4;0;2;4
